day,wallet,price
2023-5-26,22766.308726917057,0.23598
2023-5-27,22766.308726917057,0.25232
2023-5-28,22766.308726917057,0.26088
2023-5-29,23030.40745567766,0.26364
2023-5-30,22923.833729778988,0.26242
2023-5-31,24792.368153527073,0.28381
2023-6-1,22238.96650761045,0.25458
2023-6-2,23102.038976363656,0.26446
2023-6-3,23809.61863192044,0.27256
2023-6-4,23601.71251090499,0.27018
2023-6-5,22874.914642481235,0.26186
2023-6-6,21056.17286116122,0.24104
2023-6-7,21037.853990772008,0.23983
2023-6-8,21037.853990772008,0.22394
2023-6-9,21037.853990772008,0.2253
2023-6-10,21037.853990772008,0.20557
2023-6-11,21037.853990772008,0.18254
2023-6-12,21037.853990772008,0.17928
2023-6-13,21037.853990772008,0.18818
2023-6-14,21037.853990772008,0.19086
2023-6-15,21037.853990772008,0.1821
2023-6-16,21037.853990772008,0.1832
2023-6-17,21037.853990772008,0.19129
2023-6-18,21037.853990772008,0.19384
2023-6-19,21037.853990772008,0.18213
2023-6-20,21037.853990772008,0.19038
2023-6-21,21037.853990772008,0.20443
2023-6-22,21037.853990772008,0.24026
2023-6-23,21250.1814980872,0.23772
2023-6-24,21218.000506419226,0.23736
2023-6-25,21079.443458959882,0.23581
2023-6-26,20061.272639242514,0.22442
2023-6-27,19932.548672570607,0.22298
2023-6-28,20400.066968191488,0.22821
2023-6-29,19363.123903334465,0.21661
2023-6-30,20211.450600359738,0.2261
2023-7-1,20188.208773043978,0.22584
2023-7-2,20427.778377683357,0.22852
2023-7-3,21750.774701811286,0.24332
2023-7-4,21878.60475204797,0.24475
2023-7-5,21681.049219864002,0.24254
2023-7-6,20340.17456703164,0.22754
2023-7-7,19345.245574630033,0.21641
2023-7-8,19435.591858330856,0.22193
2023-7-9,19435.591858330856,0.21891
2023-7-10,19435.591858330856,0.21282
2023-7-11,19435.591858330856,0.21617
2023-7-12,19435.591858330856,0.21321
2023-7-13,19435.591858330856,0.21735
2023-7-14,19435.591858330856,0.23523
2023-7-15,19652.2860176168,0.23219
2023-7-16,20163.504448842974,0.23823
2023-7-17,20337.01401573265,0.24028
2023-7-18,19945.13631100133,0.23565
2023-7-19,19433.071491643983,0.2296
2023-7-20,19090.284298520473,0.22555
2023-7-21,19064.8926545854,0.22525
2023-7-22,19048.30619797591,0.22614
2023-7-23,19048.30619797591,0.22225
2023-7-24,19048.30619797591,0.22033
2023-7-25,19048.30619797591,0.21142
2023-7-26,19048.30619797591,0.20941
2023-7-27,19048.30619797591,0.21443
2023-7-28,19048.30619797591,0.21481
2023-7-29,19048.30619797591,0.21732
2023-7-30,19048.30619797591,0.21387
2023-7-31,19048.30619797591,0.21188
2023-8-1,19048.30619797591,0.20184
2023-8-2,19048.30619797591,0.21103
2023-8-3,19048.30619797591,0.20438
2023-8-4,19048.30619797591,0.20154
2023-8-5,19048.30619797591,0.19553
2023-8-6,19048.30619797591,0.19731
2023-8-7,19048.30619797591,0.19933
2023-8-8,19048.30619797591,0.19425
2023-8-9,19048.30619797591,0.19992
2023-8-10,19048.30619797591,0.19878
2023-8-11,19048.30619797591,0.20105
2023-8-12,19048.30619797591,0.20173
2023-8-13,19048.30619797591,0.2006
2023-8-14,19048.30619797591,0.21816
2023-8-15,18884.302787507873,0.21647
2023-8-16,17829.601347581003,0.20438
2023-8-17,17521.65295362386,0.20085
2023-8-18,16990.412391809714,0.18486
2023-8-19,16990.412391809714,0.20117
2023-8-20,17100.177999960066,0.21144
2023-8-21,16558.316513960574,0.20474
2023-8-22,16195.997191978824,0.20026
2023-8-23,15849.800230639352,0.19697
2023-8-24,15849.800230639352,0.21375
2023-8-25,15261.019169400783,0.20251
2023-8-26,15991.251136965315,0.2122
